[2026-04-22 14:54:29.347] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.368] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.389] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.413] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.433] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.454] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.478] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.499] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.520] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.541] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.562] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.583] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.604] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.626] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.647] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.668] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.689] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.710] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.731] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.752] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.773] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.794] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.814] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.835] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.856] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.877] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.898] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.922] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.943] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.964] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.985] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.006] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.027] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.047] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.068] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.089] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.111] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.132] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.153] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.174] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.195] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.216] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.237] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.258] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.279] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.306] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.328] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:30.349] KEY PRESS: SPACE (STOP)
[2026-04-22 14:54:30.350] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.371] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.392] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.412] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.434] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.455] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.476] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.496] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.518] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.539] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.560] KEY PRESS: SPACE (STOP)
[2026-04-22 14:54:30.560] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.581] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.602] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.623] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.644] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.665] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.686] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.707] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:30.728] KEY PRESS: SPACE (STOP)
