[2026-04-24 11:19:06.494] PUBLISH -> linear.x=0.60, angular.z=0.00
[2026-04-24 11:19:06.515] PUBLISH -> linear.x=0.60, angular.z=0.00
[2026-04-24 11:19:06.536] PUBLISH -> linear.x=0.57, angular.z=0.12
[2026-04-24 11:19:06.557] PUBLISH -> linear.x=0.54, angular.z=0.24
[2026-04-24 11:19:06.578] PUBLISH -> linear.x=0.51, angular.z=0.36
[2026-04-24 11:19:06.599] PUBLISH -> linear.x=0.48, angular.z=0.48
[2026-04-24 11:19:06.620] PUBLISH -> linear.x=0.45, angular.z=0.60
[2026-04-24 11:19:06.641] PUBLISH -> linear.x=0.42, angular.z=0.72
[2026-04-24 11:19:06.661] PUBLISH -> linear.x=0.39, angular.z=0.84
[2026-04-24 11:19:06.682] PUBLISH -> linear.x=0.33, angular.z=0.96
[2026-04-24 11:19:06.703] PUBLISH -> linear.x=0.27, angular.z=1.08
[2026-04-24 11:19:06.724] PUBLISH -> linear.x=0.21, angular.z=1.05
[2026-04-24 11:19:06.745] PUBLISH -> linear.x=0.15, angular.z=1.02
[2026-04-24 11:19:06.766] PUBLISH -> linear.x=0.09, angular.z=0.99
[2026-04-24 11:19:06.787] PUBLISH -> linear.x=0.03, angular.z=0.96
[2026-04-24 11:19:06.808] PUBLISH -> linear.x=-0.03, angular.z=0.93
[2026-04-24 11:19:06.829] PUBLISH -> linear.x=-0.09, angular.z=0.90
[2026-04-24 11:19:06.850] PUBLISH -> linear.x=-0.15, angular.z=0.87
[2026-04-24 11:19:06.871] PUBLISH -> linear.x=-0.12, angular.z=0.84
[2026-04-24 11:19:06.892] PUBLISH -> linear.x=-0.09, angular.z=0.81
[2026-04-24 11:19:06.913] PUBLISH -> linear.x=-0.06, angular.z=0.78
[2026-04-24 11:19:06.934] PUBLISH -> linear.x=-0.03, angular.z=0.75
[2026-04-24 11:19:06.954] PUBLISH -> linear.x=-0.00, angular.z=0.72
[2026-04-24 11:19:06.975] PUBLISH -> linear.x=0.00, angular.z=0.69
[2026-04-24 11:19:06.996] PUBLISH -> linear.x=0.00, angular.z=0.66
[2026-04-24 11:19:07.017] PUBLISH -> linear.x=0.00, angular.z=0.63
[2026-04-24 11:19:07.038] PUBLISH -> linear.x=0.00, angular.z=0.60
[2026-04-24 11:19:07.059] PUBLISH -> linear.x=0.00, angular.z=0.57
[2026-04-24 11:19:07.080] PUBLISH -> linear.x=0.00, angular.z=0.54
[2026-04-24 11:19:07.101] PUBLISH -> linear.x=0.00, angular.z=0.51
[2026-04-24 11:19:07.122] PUBLISH -> linear.x=0.00, angular.z=0.48
[2026-04-24 11:19:07.143] PUBLISH -> linear.x=0.00, angular.z=0.45
[2026-04-24 11:19:07.164] PUBLISH -> linear.x=0.00, angular.z=0.42
[2026-04-24 11:19:07.185] PUBLISH -> linear.x=-0.06, angular.z=0.39
[2026-04-24 11:19:07.205] PUBLISH -> linear.x=-0.12, angular.z=0.36
[2026-04-24 11:19:07.226] PUBLISH -> linear.x=-0.18, angular.z=0.33
[2026-04-24 11:19:07.247] PUBLISH -> linear.x=-0.24, angular.z=0.30
[2026-04-24 11:19:07.269] PUBLISH -> linear.x=-0.30, angular.z=0.27
[2026-04-24 11:19:07.289] PUBLISH -> linear.x=-0.36, angular.z=0.24
[2026-04-24 11:19:07.310] PUBLISH -> linear.x=-0.42, angular.z=0.21
