[2026-04-25 14:16:35.620] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.641] KEY PRESS: LEFT
[2026-04-25 14:16:35.643] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.664] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.687] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.708] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.729] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.750] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.771] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.793] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.813] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.834] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.855] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.875] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.896] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.917] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.938] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.959] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:35.980] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.001] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.021] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.042] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.063] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.084] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.110] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.131] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.152] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.173] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.195] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.216] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.237] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.259] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.280] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.301] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.322] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.343] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.364] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.385] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.407] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.429] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.451] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.473] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.494] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.516] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.538] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.559] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.579] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.601] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.624] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.645] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.666] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.687] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.709] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.730] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.751] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.773] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.794] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.819] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.840] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.861] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.882] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.903] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.925] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.946] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.968] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:36.990] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.010] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.032] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.053] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.075] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.096] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.117] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:37.139] PUBLISH -> linear.x=-0.15, angular.z=0.50
